index,OPEN_DT,OnTime_Status,SUBJECT,REASON,TYPE,neighborhood,neighborhood_services_district,LOCATION_ZIPCODE,Source
0,2015-12-03 18:04:00,ONTIME,Transportation - Traffic Division,Enforcement & Abandoned Vehicles,Parking Enforcement,South Boston,5.0,2127.0,Constituent Call
1,2015-04-23 11:25:15,ONTIME,Inspectional Services,Housing,Unsatisfactory Living Conditions,Mission Hill,14.0,2120.0,Constituent Call
2,2015-08-21 12:35:00,ONTIME,Property Management,Graffiti,Graffiti Removal,Mission Hill,14.0,2120.0,Citizens Connect App
3,2015-06-09 11:31:00,ONTIME,Property Management,Graffiti,Graffiti Removal,Mission Hill,14.0,2120.0,Self Service
4,2015-03-19 09:13:25,OVERDUE,Public Works Department,Street Cleaning,Requests for Street Cleaning,Dorchester,8.0,2125.0,City Worker App
5,2015-07-15 09:21:00,ONTIME,Transportation - Traffic Division,Signs & Signals,Missing Sign,Boston,14.0,2115.0,City Worker App
6,2015-11-09 11:23:37,ONTIME,Transportation - Traffic Division,Enforcement & Abandoned Vehicles,Parking Enforcement,South Boston,5.0,2127.0,Citizens Connect App
7,2015-02-10 17:49:30,ONTIME,Public Works Department,Street Cleaning,Request for Snow Plowing,South Boston,5.0,2127.0,Constituent Call
8,2015-01-20 07:17:58,ONTIME,Public Works Department,Highway Maintenance,PWD Graffiti,Boston,14.0,2115.0,City Worker App
9,2015-01-05 09:56:38,ONTIME,Public Works Department,Sanitation,Schedule a Bulk Item Pickup,Charlestown,2.0,2129.0,Constituent Call
10,2015-11-13 10:29:00,ONTIME,Public Works Department,Street Lights,Street Light Outages,Roxbury,6.0,2118.0,Citizens Connect App
11,2015-03-16 14:56:50,ONTIME,Transportation - Traffic Division,Enforcement & Abandoned Vehicles,Parking Enforcement,Dorchester,5.0,2125.0,Self Service
12,2015-10-03 22:12:13,ONTIME,Transportation - Traffic Division,Enforcement & Abandoned Vehicles,Parking Enforcement,South Boston,5.0,2127.0,Citizens Connect App
13,2015-07-13 17:33:00,ONTIME,Public Works Department,Sanitation,Schedule a Bulk Item Pickup,Dorchester,7.0,2122.0,Constituent Call
14,2015-07-30 10:24:00,ONTIME,Mayor's 24 Hour Hotline,Abandoned Bicycle,Abandoned Bicycle,Boston,14.0,2115.0,Constituent Call
15,2015-02-19 22:50:00,OVERDUE,Public Works Department,Highway Maintenance,Request for Pothole Repair,Boston,14.0,2115.0,Citizens Connect App
